case_id,description,preconditions,test_data,steps,api_response,expected_result,compare,db_verification,status,notes
BE-34,List published articles with pagination metadata,At least 12 published articles exist.,"{""status"":""PUBLISHED"",""skip"":0,""limit"":10}",GET /api/articles?status=PUBLISHED&skip=0&limit=10.,"HTTP 200 {""success"":true,""data"":{""items"":[{""id"":""ut_published_list_12"",""title"":""Published list article 12"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:11:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.482Z"",""updatedAt"":""2026-04-08T08:34:01.482Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_11"",""title"":""Published list article 11"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:10:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.480Z"",""updatedAt"":""2026-04-08T08:34:01.480Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_10"",""title"":""Published list article 10"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:09:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.477Z"",""updatedAt"":""2026-04-08T08:34:01.477Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_9"",""title"":""Published list article 9"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:08:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.476Z"",""updatedAt"":""2026-04-08T08:34:01.476Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_8"",""title"":""Published list article 8"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:07:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.474Z"",""updatedAt"":""2026-04-08T08:34:01.474Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_7"",""title"":""Published list article 7"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:06:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.472Z"",""updatedAt"":""2026-04-08T08:34:01.472Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_6"",""title"":""Published list article 6"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:05:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.470Z"",""updatedAt"":""2026-04-08T08:34:01.470Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_5"",""title"":""Published list article 5"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:04:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.468Z"",""updatedAt"":""2026-04-08T08:34:01.468Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_4"",""title"":""Published list article 4"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:03:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.467Z"",""updatedAt"":""2026-04-08T08:34:01.467Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]},{""id"":""ut_published_list_3"",""title"":""Published list article 3"",""status"":""PUBLISHED"",""publishedAt"":""2026-04-08T12:02:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:01.465Z"",""updatedAt"":""2026-04-08T08:34:01.465Z"",""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]}],""pagination"":{""limit"":10,""skip"":0,""hasMore"":true,""nextSkip"":10}}}","200 OK, 10 items returned, hasMore=true, nextSkip=10, and items ordered by published date descending.","MATCH: status=200, itemCount=10, firstId=ut_published_list_12, lastId=ut_published_list_3, hasMore=true, nextSkip=10",publishedArticleCount=12,PASS,Published article list pagination and ordering are correct.
BE-35,Reject invalid article list pagination limit,No special setup beyond reachable API.,"{""status"":""PUBLISHED"",""skip"":0,""limit"":0}",GET /api/articles?status=PUBLISHED&skip=0&limit=0.,"HTTP 400 {""success"":false,""error"":{""message"":""Limit must be an integer between 1 and 50""}}",400 Bad Request because limit must be between 1 and 50.,MATCH: status=400,No database mutation expected.,PASS,Article list validation rejects zero limit.
BE-36,Read article comments on the second page,Published article exists with at least 25 top-level comments.,"{""articleId"":""ut_comment_page_article"",""skip"":10,""limit"":10}",GET /api/articles/ut_comment_page_article/comments?skip=10&limit=10.,"HTTP 200 {""success"":true,""data"":{""items"":[{""id"":""ut_comment_page_11"",""content"":""Comment page item 11"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.853Z"",""updatedAt"":""2026-04-08T08:34:01.853Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_12"",""content"":""Comment page item 12"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.854Z"",""updatedAt"":""2026-04-08T08:34:01.854Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_13"",""content"":""Comment page item 13"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.856Z"",""updatedAt"":""2026-04-08T08:34:01.856Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_14"",""content"":""Comment page item 14"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.858Z"",""updatedAt"":""2026-04-08T08:34:01.858Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_15"",""content"":""Comment page item 15"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.859Z"",""updatedAt"":""2026-04-08T08:34:01.859Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_16"",""content"":""Comment page item 16"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.862Z"",""updatedAt"":""2026-04-08T08:34:01.862Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_17"",""content"":""Comment page item 17"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.864Z"",""updatedAt"":""2026-04-08T08:34:01.864Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_18"",""content"":""Comment page item 18"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.866Z"",""updatedAt"":""2026-04-08T08:34:01.866Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_19"",""content"":""Comment page item 19"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.868Z"",""updatedAt"":""2026-04-08T08:34:01.868Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]},{""id"":""ut_comment_page_20"",""content"":""Comment page item 20"",""articleId"":""ut_comment_page_article"",""parentId"":null,""createdAt"":""2026-04-08T08:34:01.870Z"",""updatedAt"":""2026-04-08T08:34:01.870Z"",""deletedAt"":null,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""replies"":[]}],""pagination"":{""limit"":10,""skip"":10,""hasMore"":true,""nextSkip"":20}}}","200 OK, 10 comments returned, hasMore=true, and nextSkip=20.","MATCH: status=200, itemCount=10, hasMore=true, nextSkip=20",topLevelCommentCount=25,PASS,Comment pagination returns the expected second page.
BE-37,Reject invalid comment list pagination limit,Published article exists.,"{""articleId"":""ut_comment_invalid_page_article"",""skip"":0,""limit"":51}",GET /api/articles/ut_comment_invalid_page_article/comments?skip=0&limit=51.,"HTTP 400 {""success"":false,""error"":{""message"":""Limit must be an integer between 1 and 50""}}",400 Bad Request because limit must be between 1 and 50.,MATCH: status=400,No database mutation expected.,PASS,Comment list validation rejects an out-of-range limit.
BE-38,Create bookmark and list it for the current user,Published article exists and user is authenticated.,"{""articleId"":""ut_bookmark_article""}",POST /api/bookmarks then GET /api/bookmarks with the same bearer token.,"create=HTTP 201 {""success"":true,""data"":{""articleId"":""ut_bookmark_article"",""bookmarked"":true}}; list=HTTP 200 {""success"":true,""data"":[{""articleId"":""ut_bookmark_article"",""title"":""Bookmarkable article"",""excerpt"":""No excerpt available."",""createdAt"":""2026-04-08T08:34:02.311Z""}]}",Bookmark is created and appears in the authenticated user's bookmark list.,"MATCH: createStatus=201, listStatus=200, beforeBookmarkCount=0, afterBookmarkCount=1, bookmarkExists=true, listedIds=[""ut_bookmark_article""]",beforeBookmarkCount=0; afterBookmarkCount=1; bookmarkExists=true,PASS,Bookmark create and list flows are consistent with the expected before/after DB persistence delta.
BE-39,Delete existing bookmark,User already has a bookmark for the target published article.,"{""articleId"":""ut_bookmark_delete_article""}",DELETE /api/bookmarks/ut_bookmark_delete_article with authenticated user's bearer token.,"HTTP 200 {""success"":true,""data"":{""articleId"":""ut_bookmark_delete_article"",""bookmarked"":false}}","200 OK, bookmarked=false returned, and bookmark row removed from database.","MATCH: status=200, beforeBookmarkCount=1, afterBookmarkCount=0, bookmarkExists=false",beforeBookmarkCount=1; afterBookmarkCount=0; bookmarkExists=false,PASS,Bookmark delete removes the persisted row with the expected before/after DB delta.
BE-40,Reject bookmark creation for inaccessible draft article,Draft article exists but is not published.,"{""articleId"":""ut_bookmark_draft_article""}",POST /api/bookmarks with draft articleId.,"HTTP 404 {""success"":false,""error"":{""message"":""Article not found""}}",404 Not Found and no bookmark row persisted.,"MATCH: status=404, bookmarkCount=0",bookmarkCount=0,PASS,Bookmarks are restricted to published articles.
BE-41,Retrieve hierarchical category tree,Categories exist with parent-child relationships.,{},GET /api/categories/tree.,"HTTP 200 {""success"":true,""data"":{""categories"":[{""id"":""ut_category_root"",""name"":""Engineering"",""description"":""Root category for unit tests"",""children"":[{""id"":""ut_category_child"",""name"":""Knowledge Base"",""description"":""Child category for unit tests"",""children"":[]}]},{""id"":""ut_category_root_2"",""name"":""Operations"",""description"":""Second root category"",""children"":[{""id"":""ut_category_child_2"",""name"":""Release"",""description"":""Child under operations"",""children"":[]}]}],""total"":4}}","200 OK, nested category structure returned, and total matches database category count.","MATCH: status=200, total=4, rootCount=2, operationsChildCount=1",categoryCount=4; rootCount=2,PASS,Category tree returns the expected nested structure and total.
BE-42,Filter published articles by tag with pagination,At least two published articles are associated with the same tag.,"{""tagId"":""ut_search_tag"",""skip"":0,""limit"":1}",GET /api/search/articles?tagId=ut_search_tag&skip=0&limit=1.,"HTTP 200 {""success"":true,""data"":{""query"":"""",""tag"":{""id"":""ut_search_tag"",""name"":""tag-filter""},""items"":[{""id"":""ut_tagged_article_1"",""title"":""Tagged article one"",""excerpt"":""No excerpt available."",""highlightTerms"":[],""publishedAt"":""2026-04-08T12:02:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:03.186Z"",""updatedAt"":""2026-04-08T08:34:03.186Z"",""score"":1,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[{""id"":""ut_search_tag"",""name"":""tag-filter""}]}],""pagination"":{""limit"":1,""skip"":0,""total"":2,""hasMore"":true,""nextSkip"":1}}}","200 OK, one tagged article returned, total reflects all matches, and tag metadata is included.","MATCH: status=200, itemIds=[""ut_tagged_article_1""], tagId=ut_search_tag, total=2, hasMore=true, nextSkip=1",taggedArticleCount=2,PASS,Tag-filtered search returns matching published articles with correct pagination metadata.
BE-43,Reject invalid search pagination input,Search endpoint is reachable.,"{""q"":""knowledge"",""skip"":-1,""limit"":10}",GET /api/search/articles?q=knowledge&skip=-1&limit=10.,"HTTP 400 {""success"":false,""error"":{""message"":""Skip must be a non-negative integer""}}",400 Bad Request because skip must be a non-negative integer.,MATCH: status=400,No database mutation expected.,PASS,Search validation rejects negative skip values.
BE-44,Search published articles by keyword with pagination,Published and draft articles exist with overlapping searchable content.,"{""q"":""playbook"",""skip"":0,""limit"":1}",GET /api/search/articles?q=playbook&skip=0&limit=1.,"HTTP 200 {""success"":true,""data"":{""query"":""playbook"",""tag"":null,""items"":[{""id"":""ut_search_keyword_title"",""title"":""Playbook for Incident Reviews"",""excerpt"":""No excerpt available."",""highlightTerms"":[""playbook""],""publishedAt"":""2026-04-08T12:03:00.000Z"",""views"":0,""createdAt"":""2026-04-08T08:34:03.571Z"",""updatedAt"":""2026-04-08T08:34:03.571Z"",""score"":1,""author"":{""id"":""ut_author_owner"",""name"":""Author Owner""},""category"":{""id"":""ut_category_child"",""name"":""Knowledge Base""},""tags"":[]}],""pagination"":{""limit"":1,""skip"":0,""total"":2,""hasMore"":true,""nextSkip"":1}}}","200 OK, only published keyword matches are returned, and pagination reflects the full match count.","MATCH: status=200, query=playbook, itemIds=[""ut_search_keyword_title""], total=2, hasMore=true, nextSkip=1, highlightTerms=[""playbook""]",publishedKeywordMatches=2; draftKeywordMatchesExcluded=true,PASS,Keyword search returns only published matches with correct pagination metadata.
BE-45,Retrieve version history of an owned article,Authenticated author owns an article with multiple persisted versions.,"{""articleId"":""ut_version_history_article""}",GET /api/articles/ut_version_history_article/versions with the owning author's bearer token.,"HTTP 200 {""success"":true,""data"":[{""id"":""ut_version_history_v3"",""articleId"":""ut_version_history_article"",""contentSnapshot"":[""Version three""],""updatedAt"":""2026-04-08T11:00:00.000Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}},{""id"":""ut_version_history_v2"",""articleId"":""ut_version_history_article"",""contentSnapshot"":[""Version two""],""updatedAt"":""2026-04-08T10:00:00.000Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}},{""id"":""ut_version_history_v1"",""articleId"":""ut_version_history_article"",""contentSnapshot"":[""Version one""],""updatedAt"":""2026-04-08T09:00:00.000Z"",""updatedBy"":{""id"":""ut_author_owner"",""name"":""Author Owner""}}]}",200 OK and versions are returned in descending updatedAt order.,"MATCH: status=200, versionIds=[""ut_version_history_v3"",""ut_version_history_v2"",""ut_version_history_v1""], firstSnapshot=[""Version three""]",versionCount=3; newestVersionId=ut_version_history_v3,PASS,Version history is returned for the owner in descending updatedAt order.
BE-46,Create an initial helpfulness vote,Published article exists and authenticated user has not voted yet.,"{""articleId"":""ut_helpfulness_vote_article"",""value"":""HELPFUL""}",POST /api/articles/ut_helpfulness_vote_article/helpfulness with value HELPFUL.,"HTTP 200 {""success"":true,""data"":{""articleId"":""ut_helpfulness_vote_article"",""helpfulCount"":1,""notHelpfulCount"":0,""userVote"":""HELPFUL""}}","200 OK, one helpfulness row is saved, and the returned summary reflects HELPFUL for the acting user.","MATCH: status=200, beforeRatingCount=0, ratingValue=HELPFUL, ratingCount=1, summary={""articleId"":""ut_helpfulness_vote_article"",""helpfulCount"":1,""notHelpfulCount"":0,""userVote"":""HELPFUL""}",beforeRatingCount=0; ratingValue=HELPFUL; ratingCount=1,PASS,Initial helpfulness vote is stored and summarized correctly with before/after persistence verified.
BE-47,Change an existing helpfulness vote,Published article exists and the authenticated user already has one helpfulness vote.,"{""articleId"":""ut_helpfulness_update_article"",""value"":""NOT_HELPFUL""}",POST /api/articles/ut_helpfulness_update_article/helpfulness after an existing HELPFUL vote for the same user.,"HTTP 200 {""success"":true,""data"":{""articleId"":""ut_helpfulness_update_article"",""helpfulCount"":0,""notHelpfulCount"":1,""userVote"":""NOT_HELPFUL""}}","200 OK, the existing row is updated in place, and the returned summary reflects NOT_HELPFUL.","MATCH: status=200, beforeRatingValue=HELPFUL, afterRatingValue=NOT_HELPFUL, ratingCount=1, summary={""articleId"":""ut_helpfulness_update_article"",""helpfulCount"":0,""notHelpfulCount"":1,""userVote"":""NOT_HELPFUL""}",beforeRatingValue=HELPFUL; afterRatingValue=NOT_HELPFUL; ratingCount=1,PASS,Existing helpfulness vote is updated in place as expected with the correct before/after value transition.
BE-48,Switch reaction type for the same article,Published article exists and the authenticated user already reacted with LIKE.,"{""articleId"":""ut_reaction_switch_article"",""type"":""LOVE""}",POST /api/reactions with the same articleId and a new type LOVE.,"HTTP 200 {""success"":true,""data"":{""articleId"":""ut_reaction_switch_article"",""likeCount"":0,""loveCount"":1,""laughCount"":0,""userReaction"":""LOVE""}}","200 OK, the existing reaction is updated from LIKE to LOVE and the summary counts change accordingly.","MATCH: status=200, beforeReaction=LIKE, afterReaction=LOVE, likeCount=0, loveCount=1, userReaction=LOVE",beforeReaction=LIKE; afterReaction=LOVE,PASS,Reaction POST updates the existing row to the new type with the expected before/after transition.
